2021-11-23 14:50:50,157 - mmseg - INFO - Loaded 2000 images
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
[>>>>>>>>>>>>>>>>>>>>>>>>>>] 2000/2000, 1.1 task/s, elapsed: 1813s, ETA:     0sper class results:

+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
|      microwave      | 36.69 | 38.85 |
|         pot         |  40.4 | 45.76 |
|        animal       | 52.65 | 57.26 |
|       bicycle       | 52.06 | 69.58 |
|         lake        |  7.36 |  9.35 |
|      dishwasher     | 71.24 | 73.66 |
|        screen       | 60.41 | 80.48 |
|       blanket       |  2.55 |  2.65 |
|      sculpture      |  18.2 | 25.67 |
|         hood        | 52.27 | 60.11 |
|        sconce       | 38.74 | 48.67 |
|         vase        | 35.44 |  48.8 |
|    traffic light    | 27.12 | 35.69 |
|         tray        |  7.41 |  10.4 |
|        ashcan       | 42.64 | 54.04 |
|         fan         | 56.08 | 65.93 |
|         pier        | 20.02 | 23.07 |
|      crt screen     |  4.07 | 10.31 |
|        plate        | 36.86 | 46.22 |
|       monitor       | 11.61 | 13.72 |
|    bulletin board   | 35.06 | 42.65 |
|        shower       |  0.0  |  0.0  |
|       radiator      | 41.91 | 48.85 |
|        glass        | 11.51 | 12.11 |
|        clock        | 27.22 | 32.19 |
|         flag        | 28.54 | 31.08 |
+---------------------+-------+-------+
Summary:

+------+-------+-------+----------+----------+----------+----------+----------+----------+
| aAcc |  mIoU |  mAcc | mHeadIoU | mBodyIoU | mTailIoU | mHeadAcc | mBodyAcc | mTailAcc |
+------+-------+-------+----------+----------+----------+----------+----------+----------+
| 79.1 | 38.08 | 46.27 |  64.64   |  39.95   |  29.62   |  78.64   |   49.3   |  35.41   |
+------+-------+-------+----------+----------+----------+----------+----------+----------+
